unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation
87b2c5571ffffff,118709,193859.48709999985,106675,161599.66550000003,342344.94174079294,6303101.152190784,4.471533847052288,2698.819520357996,h3_r7
87b2c5572ffffff,113004,194879.91410000008,89717,137428.39589999994,338296.05961623334,6302955.188882573,4.473589856638663,2699.689842517837,h3_r7
87b2c5573ffffff,177660,285679.2448000001,163988,244619.14620000005,340250.8623694824,6301921.748835301,4.471606261976795,2699.0713022953714,h3_r7
87b2c5574ffffff,288558,414806.3201000009,296548,430781.55780000007,340530.1564508497,6306348.3959201425,4.475429876079231,2699.8048026426695,h3_r7
87b2c5575ffffff,181441,266463.5162999998,183493,265396.9554999999,342484.8637859501,6305314.298551992,4.473444921654531,2699.1861094775377,h3_r7
87b2c5576ffffff,42662,63082.272300000026,32530,47501.5157,338435.4315360718,6305168.689702427,4.475502396189472,2700.056753793964,h3_r7
87b2c5704ffffff,25243,39703.864400000006,14484,21774.03849999999,356967.8827479187,6279396.392031106,4.4422761452493225,2691.2979424668592,h3_r7
87b2c5706ffffff,7365,12290.095800000001,4654,7105.507999999999,354878.6618687868,6278219.2919759,4.442348714663148,2691.5486487719463,h3_r7
87b2c5714ffffff,87636,147991.67870000002,52739,79129.71279999998,350840.6870932102,6278069.474553727,4.444402211131749,2692.4175837806542,h3_r7
87b2c5715ffffff,11651,18874.8298,5957,9051.490700000002,352789.4055841421,6277042.157561453,4.442419401061726,2691.798970138654,h3_r7
87b2c5716ffffff,19048,34097.353200000005,12649,18896.703500000003,348751.0556965505,6276892.135302115,4.444470122327926,2692.667411602568,h3_r7
87b2c5722ffffff,29331,45918.220800000054,22372,33043.3048,357109.37056379707,6281601.285823229,4.44418717042731,2691.6657889338676,h3_r7
87b2c5723ffffff,35460,57173.02109999999,24405,36967.383499999996,359057.06778363156,6280573.457648985,4.442201692962295,2691.046851385501,h3_r7
