unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,geometry_source,support_endpoint_count,support_x_32719,support_y_32719,support_bbox_span_m,representation,tile_id,partition
13,28050,44979.8601,21641,31902.7116,344343.7328964614,6305780.316598402,0.564791305042956,1112.8707595951855,official_shapezona777,49691.0,344446.515666821,6305721.611237448,1222.0,zona777,E22_N420,validation
130,311986,432338.5799,316197,449573.1097,337373.0423287279,6298561.382411554,0.771901356641422,1526.625957319804,official_shapezona777,628183.0,338082.68210537377,6298058.516327249,2069.0,zona777,E22_N419,train
131,3010,4267.2835,2454,3911.3167999999996,337945.79252220376,6298586.439843333,0.381636636587754,823.9884311994538,official_shapezona777,5464.0,338148.6923499268,6298831.399158126,836.0,zona777,E22_N419,train
132,62977,90395.602,44347,63975.3174,336721.8137097804,6298012.68870835,0.4997460425237465,1373.3952995822765,official_shapezona777,107324.0,336714.7887704521,6298150.697150684,1342.0,zona777,E22_N419,train
133,26371,36263.3481,17832,27138.8189,337863.3944382088,6297684.221056361,0.5061290620466755,1047.2720417330274,official_shapezona777,44203.0,337842.25360269664,6297939.579779653,1246.0,zona777,E22_N419,train
134,27189,39226.5389,51828,74352.5605,338154.34084412304,6296885.345795756,0.9487672644019596,1849.7119829461444,official_shapezona777,79017.0,337891.9896604528,6296730.305073592,2017.0,zona777,E22_N419,train
135,87500,136045.9173,76048,112893.2921,335562.39085946075,6300650.2056237925,2.806641802722812,2968.532046507462,official_shapezona777,163548.0,336252.7242522073,6300658.013488395,2211.0,zona777,E22_N420,validation
136,36575,54962.6738,32733,48181.1713,336938.94510738633,6300770.269039236,0.4766069832444546,1477.4787622839212,official_shapezona777,69308.0,336953.0776966584,6300909.621876262,1498.0,zona777,E22_N420,validation
137,54581,85851.7343,45688,68328.9763,337282.77887216664,6301034.618884329,0.8329706122832079,1570.9437420070171,official_shapezona777,100269.0,337447.7053924942,6301222.146745255,1584.0,zona777,E22_N420,validation
138,37865,59489.4571,34017,50547.0491,338660.37782930944,6301085.218451224,0.7036459274407124,1351.251703094691,official_shapezona777,71882.0,338583.8770067611,6301243.337080215,1917.0,zona777,E22_N420,validation
139,19090,31219.272,16512,24442.5987,339427.965125547,6301582.48553644,0.563586192545273,1077.7188475626754,official_shapezona777,35602.0,339495.9471939779,6301519.5258412445,1294.0,zona777,E22_N420,validation
14,7795,11985.724400000001,7280,10556.9219,344816.5464750873,6305683.000039186,0.3095288796510884,771.090860683471,official_shapezona777,15075.0,344878.5265008292,6305627.976716418,1005.0,zona777,E22_N420,validation
140,3956,5939.4831,440,708.8811000000001,340110.9820316202,6301168.082731618,0.4480651904014708,963.9428448127584,official_shapezona777,4396.0,340104.5621019108,6301577.578707917,276.0,zona777,E22_N420,validation
141,21955,34283.6785,20053,30048.1254,337842.964549448,6300760.608893226,0.342234007167249,714.4951538424939,official_shapezona777,42008.0,337846.7388354599,6300746.913921158,1241.0,zona777,E22_N420,validation
142,9767,14778.5201,14644,21621.2931,339306.1874306714,6300960.825066463,0.3085344077621258,839.2757045907201,official_shapezona777,24411.0,339249.279464176,6300825.092908935,860.0,zona777,E22_N420,validation
143,48858,73332.6801,36093,52954.3499,339900.5764031163,6300294.383390402,0.7231175399597616,1186.795545621775,official_shapezona777,84951.0,340044.4819719603,6300319.796824051,1424.0,zona777,E22_N420,validation
144,46765,74320.1681,35795,53145.3341,338027.48548256146,6300355.8579310775,0.2299226530192768,530.4760120436549,official_shapezona777,82560.0,338200.44742005813,6300420.615152616,936.0,zona777,E22_N420,validation
145,23273,37303.5787,26099,38266.3655,338932.1318238557,6300293.892087681,0.5023216202977367,1362.613720960915,official_shapezona777,49372.0,338875.87606335577,6300403.539921413,1602.0,zona777,E22_N420,validation
146,9656,14697.1471,24848,35908.3827,338454.2754380192,6299201.72846541,0.2555074889527534,584.5446749645052,official_shapezona777,34504.0,338406.1214062138,6299060.809413401,829.0,zona777,E22_N419,train
147,37632,54360.6673,24967,36464.082,339611.84795658546,6299540.902959194,0.3902446566370659,959.58029448241,official_shapezona777,62599.0,339753.8209875557,6299567.917027429,1427.0,zona777,E22_N419,train
148,16993,23226.0113,15872,23017.233500000002,339589.2337461483,6299144.47553057,0.3815157200809993,879.511032751936,official_shapezona777,32865.0,339949.78125665605,6299044.547299559,903.0,zona777,E22_N419,train
149,27199,41128.2664,20983,30781.4791,340714.8858837342,6293050.947231203,2.6937339078007545,2511.585392211564,official_shapezona777,48182.0,340683.2181727616,6292972.07181105,2727.0,zona777,E22_N419,train
15,31484,47410.0456,19370,28386.112100000002,345494.74405785755,6305687.712728621,0.4089007534307107,786.718655901961,official_shapezona777,50854.0,345478.7319778189,6305714.083316946,1467.0,zona777,E23_N420,test
150,205858,286331.97589999996,179793,251256.14029999997,341926.84080900333,6293825.928358911,1.214897460786493,1868.3229616632448,official_shapezona777,385651.0,342398.6764769183,6293827.138804256,1808.0,zona777,E22_N419,train
151,93257,140172.0157,84227,124183.3442,342382.4070918185,6292976.93274008,3.324829383038133,3345.2446583397686,official_shapezona777,177484.0,342120.53583421605,6293229.431114918,3939.0,zona777,E22_N419,train
152,43099,65494.6363,30949,45555.8685,338691.74549317686,6292358.30474749,0.8392963385615964,1417.3133694017306,official_shapezona777,74048.0,338645.2068658168,6292394.517826275,1747.0,zona777,E22_N419,train
153,38926,63653.2769,43891,64779.0841,339871.40640769084,6292301.478753462,0.8475855899423577,1471.37081610132,official_shapezona777,82817.0,339940.71213639714,6292591.686779285,2190.0,zona777,E22_N419,train
154,11596,17890.3992,12239,17928.0119,340148.3975857211,6291206.639250327,0.5697429198212013,1465.8954211450182,official_shapezona777,23835.0,340170.3772603315,6291082.933417244,1794.0,zona777,E22_N419,train
155,19545,30807.5293,13438,20429.4392,338875.63716656447,6290995.555200506,0.5921470390904677,1007.3658216254552,official_shapezona777,32983.0,338873.7623927478,6291111.623351423,1469.0,zona777,E22_N419,train
156,27854,44818.4803,33730,51649.3432,340932.71757795487,6289540.749574412,1.6410089668959291,1760.1511148726568,official_shapezona777,61584.0,340751.2876396467,6289940.19201416,2006.0,zona777,E22_N419,train
157,29103,45191.6391,16794,25533.2527,333720.29745094577,6294086.6482326565,16.27325479871754,6932.062418764806,official_shapezona777,45897.0,336499.77931019454,6294474.350676515,3518.0,zona777,E22_N419,train
