unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation,tile_id,partition
87b2c540dffffff,224345,338580.2327,201469,296861.9163,335368.44187991053,6288508.437086156,4.4621669062392,2697.7330883538816,h3_r7,E22_N419,train
87b2c5420ffffff,729,1256.7425,389,628.9742,331874.18544689065,6297203.774889326,4.471876882411785,2700.0745564776007,h3_r7,E22_N419,train
87b2c5421ffffff,803,1315.9094,541,761.3605,333829.7642564431,6296171.33230637,4.469896457757185,2699.456389125029,h3_r7,E22_N419,train
87b2c5422ffffff,4951,6873.2329,4677,6463.1557999999995,329779.9285611507,6296024.191663964,4.4719397769803395,2700.3244007680332,h3_r7,E21_N419,train
87b2c5424ffffff,661,1068.6471,246,342.91360000000003,332012.58263089403,6299416.252976798,4.473792969481167,2700.44253603596,h3_r7,E22_N419,train
87b2c5425ffffff,48497,77730.2758,43917,63182.4444,333968.40771149006,6298383.322297584,4.4718120834843935,2699.8243243147153,h3_r7,E22_N419,train
87b2c5426ffffff,6162,9417.9639,5439,7845.4878,329918.0198716775,6298236.535614882,4.473856862617039,2700.692658239277,h3_r7,E21_N419,train
87b2c5428ffffff,167875,243355.02300000002,150056,219228.30789999999,335645.9256026354,6292928.328157088,4.465999893844018,2698.4700329834013,h3_r7,E22_N419,train
87b2c5429ffffff,347036,501953.28160000005,337717,487950.33230000007,337600.08412226266,6291897.009530429,4.464019053736585,2697.8517806587042,h3_r7,E22_N419,train
87b2c542affffff,150831,233643.85070000007,120837,178652.4601,333552.65531966195,6291749.219627071,4.46606360158819,2698.719819409831,h3_r7,E22_N419,train
87b2c542bffffff,360501,525327.1726,361347,536525.3035,335507.1541482613,6290718.071171671,4.464083664563143,2698.101676787832,h3_r7,E22_N419,train
87b2c542cffffff,75005,110597.58610000001,86395,125801.3883,335784.75622628164,6295139.207772533,4.467915591374114,2698.838156570331,h3_r7,E22_N419,train
