endpoint_role,dtpm_commune_code,dpa_cut_com,endpoint_count,endpoint_share_within_dtpm_code,is_modal_mapping
destination,18,13128,816,0.001514726820131759,False
destination,28,13112,67,0.00020136689047444445,False
destination,16,13121,24,7.869298815965628e-06,False
destination,19,13103,13,3.189385724309498e-05,False
destination,15,13125,80,5.039954237215526e-05,False
destination,31,13105,81,0.0003013359225901497,False
destination,19,13125,31,7.605458265661111e-05,False
destination,13,13403,28,0.0008217891523831885,False
destination,40,13129,18,3.8148929180751745e-05,False
destination,40,13105,16,3.391015927177933e-05,False
destination,39,13111,14,9.344846183831815e-06,False
destination,22,13107,7,1.2106998190868557e-05,False
destination,28,13130,4,1.2021903908922056e-05,False
destination,33,13106,1,1.7810136817471031e-06,False
destination,20,13301,494,0.0003287921414684762,False
destination,0,13301,21,0.0005586740801830323,False
destination,23,13132,1,1.4841943689071967e-07,False
destination,20,13128,1,6.655711365758628e-07,False
destination,8,13201,1,8.783926819348882e-07,False
destination,14,13604,4,1.2737145752114127e-06,False
destination,31,13130,2,7.440393150374066e-06,False
