service_date,day_class,table,field,valid,missing,invalid,zero,negative,min,max,mean,std
2024-11-11,laboral,viajes,tiempo_inicio_viaje,0,0,3541818,0,0,,,,
2024-11-11,laboral,viajes,tiempo_fin_viaje,0,999871,2541947,0,0,,,,
2024-11-11,laboral,viajes,netapassinbajada,3541818,0,0,2484177,0,0.0,4.0,0.30723826012516736,0.4801593750890591
2024-11-11,laboral,viajes,ultimaetapaconbajada,3541818,0,0,999819,0,0.0,1.0,0.7177102267818392,0.4501136047206306
2024-11-11,laboral,etapas,fExpansionServicioPeriodoTS,4704552,0,0,704322,0,0.0,138.0,0.991087024694381,0.5818292647487121
2024-11-11,laboral,etapas,fExpansionZonaPeriodoTS,3608303,1096249,0,0,0,1.0002,20.6055,1.3038938045114277,0.1536975749214952
2024-11-11,laboral,etapas,tiempo2,0,0,4704552,0,0,,,,
2024-11-11,laboral,etapas,tiempo_subida,0,0,4704552,0,0,,,,
2024-11-11,laboral,etapas,tiempo_bajada,0,1090946,3613606,0,0,,,,
2024-11-11,laboral,etapas,tiempo_etapa,3613606,1090946,0,1234,2,-93.0,12533.0,1251.122521658421,850.100713473012
2024-11-11,laboral,etapas,x_subida,4704552,0,0,0,813,-1.0,361065.0,346957.67778015847,7258.635986658258
2024-11-11,laboral,etapas,y_subida,4704552,0,0,0,813,-1.0,6348948.0,6294814.432466896,83016.91700801485
2024-11-11,laboral,etapas,x_bajada,3613606,1090946,0,0,0,325718.0,361079.0,347163.67253319814,5485.387886213908
2024-11-11,laboral,etapas,y_bajada,3613606,1090946,0,0,0,6270141.0,6312649.0,6296112.5530110365,6326.149373705738
2024-11-11,laboral,etapas,dist_ruta_paraderos,3613606,1090946,0,44338,17161,-49949.0,54602.0,7643.327241818837,6417.725556412857
2024-11-11,laboral,etapas,dist_eucl_paraderos,3613606,1090946,0,0,0,7.0,6322264.0,15816.905967335675,244129.5458556062
2024-11-12,laboral,viajes,factor_expansion,3550376,0,0,991500,0,0.0,9.1099,0.9999999874942824,0.6347558625397547
2024-11-12,laboral,viajes,n_etapas,3550376,0,0,0,0,1.0,10.0,1.3253283595878296,0.5459993527438123
2024-11-12,laboral,viajes,tviaje,0,3550376,0,0,0,,,,
2024-11-12,laboral,viajes,tviaje2,2035989,1514387,0,0,0,35.0,13701.0,1714.9590032166186,1139.3316719232762
2024-11-12,laboral,viajes,distancia_eucl,2563829,986547,0,4,0,0.0,6319347.5,8812.936970781973,74316.72454222746
2024-11-12,laboral,viajes,distancia_ruta,3550376,0,0,1074279,12421,-50635.0,63483.0,6904.858915506414,7705.322016297318
2024-11-12,laboral,viajes,tiempo_inicio_viaje,0,0,3550376,0,0,,,,
2024-11-12,laboral,viajes,tiempo_fin_viaje,0,986567,2563809,0,0,,,,
2024-11-12,laboral,viajes,netapassinbajada,3550376,0,0,2498994,0,0.0,4.0,0.30591154289010514,0.48214799898335664
2024-11-12,laboral,viajes,ultimaetapaconbajada,3550376,0,0,986547,0,0.0,1.0,0.7221288674776981,0.4479495130403372
2024-11-12,laboral,etapas,fExpansionServicioPeriodoTS,4712293,0,0,709181,0,0.0,165.4755,0.9896566816834186,0.5847455859943276
2024-11-12,laboral,etapas,fExpansionZonaPeriodoTS,3618514,1093779,0,0,0,1.0002,21.008,1.3024442265526681,0.16158018132893442
2024-11-12,laboral,etapas,tiempo2,0,0,4712293,0,0,,,,
2024-11-12,laboral,etapas,tiempo_subida,0,0,4712293,0,0,,,,
2024-11-12,laboral,etapas,tiempo_bajada,0,1088648,3623645,0,0,,,,
