service_date,day_class,table,field,empty,dash
2024-11-12,laboral,etapas,tiempo_bajada,0,1088648
2024-11-12,laboral,etapas,tiempo_etapa,0,1088648
2024-11-12,laboral,etapas,x_subida,0,0
2024-11-12,laboral,etapas,y_subida,0,0
2024-11-12,laboral,etapas,x_bajada,0,1088648
2024-11-12,laboral,etapas,y_bajada,0,1088648
2024-11-12,laboral,etapas,dist_ruta_paraderos,0,1088648
2024-11-12,laboral,etapas,dist_eucl_paraderos,0,1088648
2024-11-12,laboral,etapas,comuna_subida,0,3691
2024-11-12,laboral,etapas,comuna_bajada,0,1093523
2024-11-12,laboral,etapas,zona_subida,0,3746
2024-11-12,laboral,etapas,zona_bajada,0,1093556
2024-11-12,laboral,etapas,periodoSubida,0,0
2024-11-12,laboral,etapas,periodoBajada,0,1088648
2024-11-12,laboral,etapas,id_etapa,0,0
2024-11-12,laboral,etapas,correlativo_viajes,0,0
2024-11-13,laboral,viajes,tipodia,0,0
2024-11-13,laboral,viajes,factor_expansion,0,0
2024-11-13,laboral,viajes,n_etapas,0,0
2024-11-13,laboral,viajes,tviaje,0,3600108
2024-11-13,laboral,viajes,tviaje2,0,1483499
2024-11-13,laboral,viajes,distancia_eucl,0,964223
2024-11-13,laboral,viajes,distancia_ruta,0,0
2024-11-13,laboral,viajes,tiempo_inicio_viaje,0,0
2024-11-13,laboral,viajes,tiempo_fin_viaje,0,964282
2024-11-13,laboral,viajes,periodo_inicio_viaje,0,0
2024-11-13,laboral,viajes,periodo_fin_viaje,0,0
2024-11-13,laboral,viajes,comuna_inicio_viaje,0,0
2024-11-13,laboral,viajes,comuna_fin_viaje,0,0
2024-11-13,laboral,viajes,zona_inicio_viaje,0,1206
2024-11-13,laboral,viajes,zona_fin_viaje,0,968451
2024-11-13,laboral,viajes,netapassinbajada,0,0
2024-11-13,laboral,viajes,ultimaetapaconbajada,0,0
2024-11-13,laboral,viajes,tipo_corte_etapa_viaje,0,0
2024-11-13,laboral,viajes,id_tarjeta,0,0
2024-11-13,laboral,viajes,id_viaje,0,0
2024-11-13,laboral,etapas,tipo_dia,0,0
2024-11-13,laboral,etapas,tipo_transporte,0,0
2024-11-13,laboral,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-13,laboral,etapas,fExpansionZonaPeriodoTS,0,1058621
2024-11-13,laboral,etapas,tiene_bajada,0,0
2024-11-13,laboral,etapas,tiempo2,0,0
2024-11-13,laboral,etapas,tiempo_subida,0,0
2024-11-13,laboral,etapas,tiempo_bajada,0,1052944
2024-11-13,laboral,etapas,tiempo_etapa,0,1052944
2024-11-13,laboral,etapas,x_subida,0,0
2024-11-13,laboral,etapas,y_subida,0,0
2024-11-13,laboral,etapas,x_bajada,0,1052944
2024-11-13,laboral,etapas,y_bajada,0,1052944
2024-11-13,laboral,etapas,dist_ruta_paraderos,0,1052944
2024-11-13,laboral,etapas,dist_eucl_paraderos,0,1052944
2024-11-13,laboral,etapas,comuna_subida,0,1447
2024-11-13,laboral,etapas,comuna_bajada,0,1058097
2024-11-13,laboral,etapas,zona_subida,0,1519
2024-11-13,laboral,etapas,zona_bajada,0,1058136
2024-11-13,laboral,etapas,periodoSubida,0,0
2024-11-13,laboral,etapas,periodoBajada,0,1052944
2024-11-13,laboral,etapas,id_etapa,0,0
2024-11-13,laboral,etapas,correlativo_viajes,0,0
2024-11-14,laboral,viajes,tipodia,0,0
2024-11-14,laboral,viajes,factor_expansion,0,0
2024-11-14,laboral,viajes,n_etapas,0,0
2024-11-14,laboral,viajes,tviaje,0,3633098
2024-11-14,laboral,viajes,tviaje2,0,1491428
2024-11-14,laboral,viajes,distancia_eucl,0,973216
2024-11-14,laboral,viajes,distancia_ruta,0,0
2024-11-14,laboral,viajes,tiempo_inicio_viaje,0,0
2024-11-14,laboral,viajes,tiempo_fin_viaje,0,973262
2024-11-14,laboral,viajes,periodo_inicio_viaje,0,0
2024-11-14,laboral,viajes,periodo_fin_viaje,0,0
2024-11-14,laboral,viajes,comuna_inicio_viaje,0,0
2024-11-14,laboral,viajes,comuna_fin_viaje,0,0
2024-11-14,laboral,viajes,zona_inicio_viaje,0,1635
2024-11-14,laboral,viajes,zona_fin_viaje,0,977502
2024-11-14,laboral,viajes,netapassinbajada,0,0
2024-11-14,laboral,viajes,ultimaetapaconbajada,0,0
2024-11-14,laboral,viajes,tipo_corte_etapa_viaje,0,0
2024-11-14,laboral,viajes,id_tarjeta,0,0
2024-11-14,laboral,viajes,id_viaje,0,0
2024-11-14,laboral,etapas,tipo_dia,0,0
2024-11-14,laboral,etapas,tipo_transporte,0,0
2024-11-14,laboral,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-14,laboral,etapas,fExpansionZonaPeriodoTS,0,1068099
2024-11-14,laboral,etapas,tiene_bajada,0,0
2024-11-14,laboral,etapas,tiempo2,0,0
2024-11-14,laboral,etapas,tiempo_subida,0,0
2024-11-14,laboral,etapas,tiempo_bajada,0,1062332
2024-11-14,laboral,etapas,tiempo_etapa,0,1062332
2024-11-14,laboral,etapas,x_subida,0,0
2024-11-14,laboral,etapas,y_subida,0,0
2024-11-14,laboral,etapas,x_bajada,0,1062332
2024-11-14,laboral,etapas,y_bajada,0,1062332
2024-11-14,laboral,etapas,dist_ruta_paraderos,0,1062332
2024-11-14,laboral,etapas,dist_eucl_paraderos,0,1062332
2024-11-14,laboral,etapas,comuna_subida,0,2193
2024-11-14,laboral,etapas,comuna_bajada,0,1067681
2024-11-14,laboral,etapas,zona_subida,0,2267
2024-11-14,laboral,etapas,zona_bajada,0,1067730
2024-11-14,laboral,etapas,periodoSubida,0,0
2024-11-14,laboral,etapas,periodoBajada,0,1062332
2024-11-14,laboral,etapas,id_etapa,0,0
2024-11-14,laboral,etapas,correlativo_viajes,0,0
2024-11-15,laboral,viajes,tipodia,0,0
2024-11-15,laboral,viajes,factor_expansion,0,0
2024-11-15,laboral,viajes,n_etapas,0,0
2024-11-15,laboral,viajes,tviaje,0,3615172
2024-11-15,laboral,viajes,tviaje2,0,1569542
2024-11-15,laboral,viajes,distancia_eucl,0,1064571
2024-11-15,laboral,viajes,distancia_ruta,0,0
2024-11-15,laboral,viajes,tiempo_inicio_viaje,0,0
2024-11-15,laboral,viajes,tiempo_fin_viaje,0,1064649
